feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.761552178191511,0.87374286804901,0.457904512007293,0.789133247089263,0.474798388381926,3.79009742514652,-0.794963333164328,0.265821999463679,0.0371707293783809,0.0213838166894724,0.436837280164904,0.072
0.766314192753017,0.879838584463894,0.437916923030356,0.74385510996119,0.498300374587685,4.57174196351228,-1.28638350802233,0.272894015806039,0.0561034332922363,0.0995858228613062,0.469048873069185,0.072
0.730719187029226,0.871972376531717,0.38113732417673,0.580853816300129,0.461099131498,0.845399374517125,-1.23398369799354,0.276191987539858,0.0406187264556279,0.0336655055867253,0.368101484755506,0.072
0.71024446218857,0.870821809328143,0.32955426634881,0.507115135834411,0.441772835087545,0.673686992329136,-0.971754993096198,0.278411231547921,0.0286980901623113,0.0114741965980167,0.280796563686245,-0.005
0.678342235608936,0.841206026283631,0.257202300127454,0.430789133247089,0.394624278608354,0.377423631603511,-0.90313263325747,0.284512521005341,0.0156622788266979,-0.0759578926349989,0.229207110948286,-0.005
0.657331299009165,0.822114776204054,0.200637714466939,0.394566623544631,0.405402146287351,0.311354862254066,-0.943923179090932,0.286678131254639,0.000852722985959246,0.0197732259174647,0.166344136674891,-0.005
0.657120993366999,0.833564566602067,0.165653946419615,0.3751617076326,0.411873417883669,0.441744061949542,-0.637098202966776,0.286232027323861,0,0.0531681642778812,0.140606941528036,-0.005
0.662461091980797,0.817584476301701,0.115165048508608,0.355756791720569,0.412530358940033,0.428764181831071,-0.828309317817701,0.287210595285028,0,0.156203129081783,0.136556601700058,-0.005
0.590300970178792,0.792871995044147,0.0414440346394363,0.320827943078913,0.396232239745999,0.339686098456233,-1.04435352965813,0.286758668456201,0,0.199511714002976,0.045198442998791,-0.134
0.546859062462434,0.784972379976926,-0.0111605415798442,0.313065976714101,0.364819057563644,0.556463412018133,-1.01858085777654,0.28388887368007,0,0.134045303031802,0.00367316829307512,-0.134
0.546859062462434,0.784972379976926,-0.0111605415798442,0.313065976714101,0.364819057563644,0.556463412018133,-1.01858085777654,0.28388887368007,0,0.134045303031802,0.00367278226842607,-0.134
0.499545204440244,0.761160718848867,-0.0882829971904526,0.279430789133247,0.337332582307028,0.2679368720154,-0.909871122833814,0.277905710576362,0,0.0893209468708419,-0.151783632190757,-0.134
0.45673883329165,0.73991202125222,-0.18091250761903,0.239327296248383,0.299431128111995,0.175249983145267,-1.07701694469875,0.275635298808964,0,-0.0305831719277744,-0.275004384491933,-0.134
0.389417231148624,0.716795043735847,-0.28735501724374,0.182406209573092,0.225160509445079,0.218835211176937,-0.785841769787708,0.266711413737921,0,-0.170455287462515,-0.424276856548013,-0.257
0.296027106825311,0.691886371504464,-0.420612883371509,0.0892626131953428,0.16070490746699,0.077960191113827,-1.2004255236387,0.271380134401206,0,-0.285080601077593,-0.56357591034707,-0.257
0.256386012087948,0.683808589975058,-0.523590281651692,0.0763260025873221,0.148928273083657,0.150663931717484,-1.20649097093474,0.276786526529576,0,-0.328615582365451,-0.686906856618778,-0.257
0.219877366281368,0.642679885813899,-0.64003845842264,0.0672703751617076,0.14168804802329,0.0769415817887207,-0.945874150709845,0.277432342928053,0,-0.362768658495065,-0.804816998050145,-0.257
0.188792975764781,0.630709249230315,-0.730867547242221,0.0776196636481242,0.138146073039992,0.0763271558234856,-0.899846175963924,0.282744393099697,0,-0.371507594750858,-0.909648651860244,-0.257
0.183742646074984,0.625264370678546,-0.790552250547765,0.0957309184993532,0.131256496682375,0.119173379742526,-1.85852570289291,0.289031344987629,0,-0.369004938251298,-0.980624499026153,-0.298
0.284165469768489,0.643175028594252,-0.798143568823736,0.184993531694696,0.17664764818209,0.293710308919153,-1.59467887411374,0.308635930267946,0,-0.342487635785782,-1.00087867180337,-0.298
0.366778583676759,0.674582875333288,-0.781296064862115,0.325551232166018,0.203409123148554,0.356994348096269,-0.690084730328089,0.320162870664609,0,-0.288969115792798,-0.978653070653349,-0.298
0.416557941045673,0.693841446893155,-0.760595657721953,0.508430609597925,0.226522997646552,0.764407288327266,-0.672756671295593,0.315923805343645,0,-0.259045181265906,-0.901642432765563,-0.298
0.448163044302534,0.703935310215762,-0.723656103489231,0.617380025940337,0.246474117082409,1.32028522807598,-1.55261389000357,0.311713801217817,0,-0.174478560205035,-0.844105801809392,-0.298
0.384421536417636,0.685854477107556,-0.736739460878752,0.543450064850843,0.225982695388974,0.806691986543717,-0.946982719100795,0.315791325926573,0,-0.284136358274607,-0.838535276869689,-0.172
0.361129625610657,0.6645663837789,-0.748929989432285,0.512321660181582,0.208926075719203,2.16705731073544,-0.553275080139431,0.318171237009579,0.000735397925783237,-0.363418931268051,-0.82303383009169,-0.172
0.343381034804309,0.655075365842949,-0.764273792144353,0.51621271076524,0.188827690100251,1.89802565457714,-0.830992463282334,0.312806052465856,0,-0.410775431716275,-0.814133959081802,-0.172
0.357814508616762,0.663743528655632,-0.745366353114529,0.566796368352789,0.186920066207344,3.94086008194051,-1.34624199578504,0.317956011916472,0.00763008001840219,-0.414556633397625,-0.774105188995778,-0.172
0.382336796985023,0.687456292516346,-0.695735961234999,0.67704280155642,0.209813786551037,6.50308025897941,-0.681133998155901,0.328073262006048,0.01563416682472,-0.397355820917566,-0.699962432129172,-0.172
0.379887478193171,0.675213516851908,-0.69366069184084,0.66147859922179,0.206879355893697,3.51701605411116,-0.492834515824998,0.331587407705769,0.0161824493585895,-0.425382871694814,-0.727778650780066,-0.111
0.345585603670771,0.662813351879668,-0.715917044874941,0.623865110246433,0.157738669989874,1.1366077085074,-1.23780217799558,0.331923859650817,0.0184413711530476,-0.447635573739941,-0.804952464181591,-0.111
