,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,label
0,-0.6133059338581897,0.06856329132537493,-1.837577247501977,0.5160771704180064,-0.4989838184752495,0.5088033471715141,-1.6201071535745724,0.4434181363342307,0.011332400002328219,-0.6600590464275732,-1.7345627195925868,-0.2906000000000001,5.607952276770836
1,-0.5438705128507839,0.0777264224392524,-1.8148580740354792,0.6832797427652733,-0.4839655254368046,0.7208907595604765,-0.702257237283887,0.44488770499588204,0.013196568624265671,-0.6276138395876376,-1.6952136962789401,-0.2906000000000001,5.796685554758344
2,-0.5679993966909522,0.07806331724324908,-1.8248395998414846,0.7041800643086816,-0.5050873642983167,0.8940655114989348,-0.5050280049486852,0.4454635703338958,0.020116075276976456,-0.6683031504630533,-1.6762524638785974,-0.2906000000000001,5.835583274317702
3,-0.5937480776946057,0.0767069223448128,-1.842221581258705,0.6977491961414791,-0.5154793842023424,0.2258902790122485,-1.1852444741305037,0.4439852322805035,0.028253926887809852,-0.7095073692887195,-1.6589960147578353,0.08000000000000002,5.91748812552094
4,-0.6300476835423651,0.07756264618550403,-1.8794785172411494,0.6655948553054662,-0.5285931006749446,0.3284981249227233,-0.8541273938672608,0.4429281100851562,0.0380176183504501,-0.7599266715319651,-1.6449254580016377,0.08000000000000002,6.147168033761943
5,-0.6303695556681101,0.08124921347344097,-1.8785511128356176,0.6767169179229481,-0.5306528138404135,0.3686119318978897,-1.323198913520679,0.437856130846131,0.04496285034550313,-0.789669322144795,-1.6345852904771268,0.08000000000000002,6.354550315173593
6,-0.5052267241465761,0.0940274485782499,-1.8216818619547388,0.8442211055276382,-0.4321619319557134,4.006432269384676,-2.431868663779434,0.4607200322451097,0.04652283177047296,-0.6535180738401128,-1.5738131253161731,0.08000000000000002,6.867795673964645
7,-0.4460360701154022,0.10033759782071956,-1.7832812729347716,0.8944723618090452,-0.38800117459137906,5.7659175426987455,-0.80439871943878,0.4631159052354925,0.0523783209597115,-0.5742403872916289,-1.5343124947428624,0.08000000000000002,7.692576242024745
8,-0.4215037733199555,0.10722717596452802,-1.743550701402201,0.9212730318257957,-0.3959437971715441,1.839197619653895,-0.7039401084138031,0.4597649674633596,0.052907226473296265,-0.5177244348134322,-1.498598126015795,-0.026599999999999957,8.246114795539514
9,-0.42620174703469876,0.11349123768327052,-1.706557597017547,0.931323283082077,-0.4012053074576857,4.323706061387122,-0.7480889706704859,0.45808803459473824,0.05192166428195165,-0.5355112334807207,-1.4566411532959507,-0.026599999999999957,8.153763756427471
10,-0.4082177496542878,0.1160985333863367,-1.6540372816719162,0.9346733668341709,-0.40081400301537573,1.6952493060269125,-1.0472446505088961,0.44588906302349485,0.052582008287585615,-0.47365680335848953,-1.4222873304564787,-0.026599999999999957,7.956611679684559
11,-0.4115487443095544,0.11776874980892581,-1.611139466587898,0.9380234505862647,-0.4080417454040515,1.2494516901596089,-1.0732769093115897,0.4436032740602591,0.058704871488282635,-0.4823698646564353,-1.3910966959384894,-0.026599999999999957,8.08375785218693
